,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Faya,3,SA,1571717952,37,18.39,42.45,60.8,5.5
1,La Ronge,90,CA,1571717953,86,55.1,-105.3,30.2,3.38
2,Bend,1,US,1571717954,71,44.06,-121.32,53.6,8.05
3,Dingle,15,PH,1571717956,75,11.0,122.67,84.94,6.4
4,Puerto Ayora,3,EC,1571717957,87,-0.74,-90.35,69.01,5.01
5,Cape Canaveral,1,US,1571717959,100,28.41,-80.6,82.0,8.05
6,Busselton,6,AU,1571717960,37,-33.64,115.35,79.0,7.78
7,Cape Town,0,ZA,1571717961,80,-33.93,18.42,55.99,5.57
8,Ushuaia,40,AR,1571717962,97,-54.81,-68.31,50.0,17.22
9,Dickinson,1,US,1571717964,74,46.88,-102.79,30.0,8.05
10,Punta Arenas,40,CL,1571717965,61,-53.16,-70.91,48.2,19.46
11,Huancavelica,39,PE,1571717966,80,-12.79,-74.97,37.47,2.66
12,Cabo San Lucas,5,MX,1571717968,83,22.89,-109.91,79.0,9.17
13,Nanortalik,43,GL,1571717969,62,60.14,-45.24,37.17,4.52
14,Berlevag,75,NO,1571717970,79,70.86,29.09,28.4,5.82
15,Jamestown,100,AU,1571717972,17,-33.21,138.6,80.31,6.17
16,Lebu,0,ET,1571717973,85,8.96,38.73,47.57,2.91
17,Buncrana,90,GB,1571717974,91,55.14,-7.45,43.3,4.99
18,Neiafu,75,TO,1571717976,78,-18.65,-173.98,80.6,5.82
19,Mehamn,96,NO,1571717977,86,71.03,27.85,28.4,2.24
20,Castro,3,CL,1571717978,86,-42.48,-73.76,37.4,4.7
21,Port Alfred,72,ZA,1571717980,64,-33.59,26.89,57.99,1.99
22,Torbay,90,CA,1571717981,100,47.66,-52.73,44.01,4.7
23,Vaini,75,IN,1571717982,88,15.34,74.49,77.0,3.36
24,Georgetown,20,GY,1571717984,100,6.8,-58.16,73.4,4.7
25,Ribeira Grande,10,PT,1571717985,78,38.52,-28.7,61.59,8.43
26,Bluff,0,AU,1571717986,24,-23.58,149.07,82.65,14.67
27,Cherskiy,3,RU,1571717988,89,68.75,161.3,3.78,6.69
28,Kapit,83,MY,1571717989,54,2.02,112.94,92.1,1.03
29,Qandala,12,SO,1571717990,72,11.47,49.87,77.22,3.76
30,Rikitea,100,PF,1571717992,82,-23.12,-134.97,70.66,22.57
31,Dikson,100,RU,1571717993,93,73.51,80.55,28.11,17.94
32,Hermanus,97,ZA,1571717994,79,-34.42,19.24,51.01,5.01
33,Arlit,0,NE,1571717996,17,18.74,7.39,86.05,5.32
34,Bredasdorp,31,ZA,1571717997,81,-34.53,20.04,51.01,4.7
35,College,75,US,1571717998,80,64.86,-147.8,30.99,1.12
36,Jackville,20,CI,1571718000,88,5.21,-4.42,78.8,4.7
37,Kupang,0,ID,1571718002,80,-10.16,123.6,77.95,10.42
38,Cache Creek,40,CA,1571718003,87,50.81,-121.33,50.0,12.75
39,Port Blair,75,IN,1571718005,83,11.67,92.75,84.2,9.17
40,Nikolskoye,90,RU,1571718006,87,59.7,30.79,44.01,6.71
41,Saint-Pierre,20,FR,1571718008,100,48.95,4.24,44.6,2.24
42,Nuevo Progreso,1,US,1571718009,69,26.05,-97.95,79.0,6.93
43,Clyde River,90,CA,1571718010,92,70.47,-68.59,30.2,4.7
44,Hamilton,40,CA,1571718012,87,43.26,-79.87,61.0,6.93
45,Novyy Urengoy,71,RU,1571718013,90,66.08,76.63,17.37,12.19
46,Yarada,90,IN,1571718014,94,17.65,83.27,78.8,2.24
47,Atuona,38,PF,1571718016,77,-9.8,-139.03,78.94,13.38
48,Victoria,75,BN,1571718017,74,5.28,115.24,89.6,5.82
49,Fortuna,1,US,1571718019,100,40.6,-124.16,53.01,3.22
50,Aleksandrovka,9,RU,1571718020,68,47.64,38.79,51.15,4.16
51,Hilo,90,US,1571718022,69,19.71,-155.08,80.6,7.65
52,Puerto Ayacucho,98,CO,1571718023,95,5.66,-67.63,72.81,2.08
53,Biak,51,ID,1571718024,74,-0.91,122.88,80.73,17.9
54,Kaitangata,100,NZ,1571718026,62,-46.28,169.85,46.99,5.01
55,Yellowknife,90,CA,1571718027,96,62.45,-114.38,32.0,5.82
56,Mataura,100,NZ,1571718028,90,-46.19,168.86,43.0,14.0
57,Fallon,90,US,1571718030,74,46.84,-105.12,37.0,4.7
58,Udachnyy,100,RU,1571718031,92,66.42,112.4,10.4,6.71
59,Albany,75,US,1571718032,87,42.65,-73.75,48.0,5.08
60,Hobart,40,AU,1571718033,42,-42.88,147.33,75.0,5.82
61,Vestmannaeyjar,0,IS,1571718035,64,63.44,-20.27,37.45,25.99
62,Codrington,2,AU,1571718036,44,-28.95,153.24,78.8,11.41
63,Sao Filipe,0,CV,1571718037,79,14.9,-24.5,76.55,11.97
64,Preston,40,GB,1571718039,93,53.76,-2.71,50.0,4.7
65,Ilulissat,0,GL,1571718040,47,69.22,-51.1,14.0,14.99
66,Kapaa,90,US,1571718042,83,22.08,-159.32,82.4,11.41
67,Kruisfontein,6,ZA,1571718043,87,-34.0,24.73,43.95,2.59
68,Pierre,1,US,1571718044,69,44.37,-100.35,42.01,14.99
69,Starkville,90,US,1571718046,100,33.45,-88.82,66.2,6.6
70,Sobolevo,100,RU,1571718047,91,54.43,31.9,48.7,3.13
71,Severo-Kurilsk,0,RU,1571718048,62,50.68,156.12,42.17,6.58
72,Yerbogachen,100,RU,1571718050,72,61.28,108.01,21.78,7.78
73,Hualmay,0,PE,1571718051,88,-11.1,-77.61,56.48,3.6
74,Mar del Plata,0,AR,1571718052,67,-46.43,-67.52,47.61,5.17
75,Narsaq,84,GL,1571718054,68,60.91,-46.05,32.0,4.7
76,Palana,81,RU,1571718055,88,59.08,159.95,28.45,2.55
77,Te Anau,100,NZ,1571718056,97,-45.41,167.72,36.36,6.89
78,Grand Gaube,75,MU,1571718058,78,-20.01,57.66,77.0,14.99
79,Le Mars,90,US,1571718059,87,42.79,-96.17,45.0,32.21
80,Saint-Philippe,40,CA,1571718061,75,45.36,-73.48,48.99,8.05
81,Poronaysk,21,RU,1571718062,53,49.22,143.1,51.12,8.46
82,Port-Gentil,100,GA,1571718064,76,-0.72,8.78,79.56,5.01
83,New Norfolk,40,AU,1571718065,42,-42.78,147.06,75.0,5.82
84,Qaanaaq,0,GL,1571718066,38,77.48,-69.36,5.81,10.69
85,Mizan Teferi,51,ET,1571718068,93,6.99,35.58,60.69,3.62
86,Cockburn Town,81,TC,1571718069,76,21.46,-71.14,83.46,12.26
87,Butaritari,5,KI,1571718071,73,3.07,172.79,84.94,11.7
88,Turan,0,RU,1571718072,79,52.15,93.92,10.92,3.89
89,Gumla,39,IN,1571718073,64,23.04,84.54,73.87,2.28
90,Punta Alta,0,AR,1571718075,87,-27.46,-55.82,60.8,5.82
91,Constitucion,5,MX,1571718076,42,23.99,-104.67,68.0,3.36
92,Jacareacanga,100,BR,1571718078,95,-6.22,-57.76,73.22,0.83
93,Sola,0,TZ,1571718079,76,-3.17,33.8,69.6,3.15
94,Gat,63,SN,1571718080,88,14.69,-16.54,77.0,11.41
95,Saldanha,0,PT,1571718082,79,41.42,-6.55,44.24,8.25
96,Northam,0,AU,1571718083,36,-31.65,116.67,80.6,16.11
97,Arraial do Cabo,75,BR,1571718085,82,-22.97,-42.02,68.0,4.61
98,Batagay,50,RU,1571718086,80,67.65,134.64,14.7,1.83
99,Mount Gambier,0,AU,1571718088,25,-37.83,140.78,75.2,4.7
100,Praia da Vitoria,20,PT,1571718090,82,38.73,-27.07,60.8,8.19
101,Gimbi,0,ET,1571718091,90,8.81,37.79,47.17,6.64
102,Pangnirtung,60,CA,1571718092,54,66.15,-65.72,26.51,1.03
103,Kavaratti,100,IN,1571718094,82,10.57,72.64,81.64,20.54
104,Norman Wells,75,CA,1571718096,92,65.28,-126.83,26.6,4.7
105,Airai,0,TL,1571718097,22,-8.93,125.41,86.52,10.02
106,Avera,90,US,1571718098,94,33.19,-82.53,71.6,4.7
107,Aden,79,YE,1571718100,59,12.79,45.03,79.57,4.76
108,Esperance,0,AU,1571718101,60,-33.86,121.89,69.8,13.87
109,Coahuayana,90,MX,1571718103,91,18.62,-100.35,72.77,3.06
110,Lavrentiya,100,RU,1571718104,87,65.58,-170.99,32.59,13.38
111,Upernavik,0,GL,1571718106,52,72.79,-56.15,12.24,11.48
112,Geraldton,90,CA,1571718107,93,49.72,-86.95,44.6,17.22
113,Solnechnyy,0,RU,1571718109,42,50.72,136.64,44.26,9.64
114,Tecpan Guatemala,90,GT,1571718111,100,14.77,-90.99,60.8,9.17
115,Tasiilaq,95,GL,1571718113,80,65.61,-37.64,30.2,20.8
116,Palmer,3,AU,1571718114,26,-34.85,139.16,84.0,10.29
117,Nome,1,US,1571718115,88,30.04,-94.42,68.0,5.82
118,Lorengau,87,PG,1571718117,70,-2.02,147.27,84.45,7.61
119,Beringovskiy,84,RU,1571718118,83,63.05,179.32,24.87,25.75
120,Carnarvon,0,ZA,1571718120,66,-30.97,22.13,44.76,11.97
121,Xining,1,CN,1571718121,59,36.62,101.77,46.96,4.45
122,Esmeraldas,40,BR,1571718123,88,-19.76,-44.31,69.8,2.24
123,Encantado,100,BR,1571718124,97,-29.24,-51.88,60.01,1.01
124,Barrow,0,AR,1571718125,78,-38.31,-60.23,43.97,8.77
125,Half Moon Bay,90,US,1571718127,87,37.46,-122.43,72.0,7.87
126,Mananjary,13,MG,1571718128,75,-19.16,46.8,64.83,1.52
127,Dunedin,100,NZ,1571718130,83,-45.87,170.5,45.0,7.0
128,Mahebourg,75,MU,1571718131,78,-20.41,57.7,77.0,14.99
129,Ylojarvi,75,FI,1571718133,100,61.56,23.6,43.0,8.05
130,Myanaung,0,MM,1571718134,78,18.28,95.32,83.08,4.52
131,Longyearbyen,20,NO,1571718136,78,78.22,15.63,8.6,8.05
132,Antofagasta,90,CL,1571718137,72,-23.65,-70.4,59.0,3.36
133,Champerico,40,MX,1571718139,78,16.38,-93.6,75.2,4.7
